   X         Y       
 Modified file of    DE6-225B-23.3 (2.25 WIDE)    Ameren-M
           1
         120
   -0.063266   -0.265515    0.000000
   -0.132758   -0.264867    0.000000
   -0.202157   -0.268389    0.000000
   -0.271222   -0.276116    0.000000
   -0.339674   -0.288092    0.000000
   -0.407219   -0.304403    0.000000
   -0.473537   -0.325154    0.000000
   -0.538256   -0.350447    0.000000
   -0.600963   -0.380386    0.000000
   -0.661301   -0.414844    0.000000
   -0.719127   -0.453390    0.000000
   -0.774154   -0.495826    0.000000
   -0.826229   -0.541842    0.000000
   -0.874779   -0.591537    0.000000
   -0.918453   -0.645588    0.000000
   -0.923764   -0.651881    0.000000
   -0.929868   -0.657409    0.000000
   -0.936658   -0.662088    0.000000
   -0.943994   -0.665816    0.000000
   -0.951767   -0.668552    0.000000
   -0.959829   -0.670233    0.000000
   -0.968050   -0.670837    0.000000
   -0.976270   -0.670340    0.000000
   -0.984358   -0.668761    0.000000
   -0.992166   -0.666127    0.000000
   -0.999550   -0.662485    0.000000
   -1.006391   -0.657904    0.000000
   -1.012567   -0.652451    0.000000
   -1.017967   -0.646224    0.000000
   -1.022497   -0.639352    0.000000
   -1.026078   -0.631934    0.000000
   -1.028645   -0.624097    0.000000
   -1.030156   -0.616003    0.000000
   -1.030580   -0.607779    0.000000
   -1.029913   -0.599566    0.000000
   -1.011769   -0.490783    0.000000
   -0.991839   -0.382318    0.000000
   -0.968406   -0.274563    0.000000
   -0.939951   -0.168030    0.000000
   -0.906016   -0.063112    0.000000
   -0.866709    0.039920    0.000000
   -0.821678    0.140571    0.000000
   -0.770465    0.238220    0.000000
   -0.712655    0.332113    0.000000
   -0.647476    0.421024    0.000000
   -0.573999    0.503199    0.000000
   -0.491625    0.576418    0.000000
   -0.400338    0.638140    0.000000
   -0.300901    0.685563    0.000000
   -0.195132    0.716354    0.000000
   -0.085691    0.728725    0.000000
    0.024202    0.721502    0.000000
    0.131045    0.694723    0.000000
    0.231981    0.650578    0.000000
    0.325035    0.591573    0.000000
    0.409131    0.520350    0.000000
    0.484427    0.439841    0.000000
    0.551840    0.352595    0.000000
    0.612467    0.260499    0.000000
    0.667552    0.164976    0.000000
    0.718289    0.067066    0.000000
    0.765337   -0.032678    0.000000
    0.809219   -0.133848    0.000000
    0.850629   -0.236060    0.000000
    0.890073   -0.339048    0.000000
    0.927876   -0.442644    0.000000
    0.964338   -0.546723    0.000000
    0.999747   -0.651171    0.000000
    1.034250   -0.755915    0.000000
    1.068047   -0.860891    0.000000
    1.101556   -0.965962    0.000000
    1.134339   -1.071266    0.000000
    1.168255   -1.176200    0.000000
    1.202530   -1.281018    0.000000
    1.232924   -1.387024    0.000000
    1.233298   -1.388928    0.000000
    1.233382   -1.390876    0.000000
    1.233166   -1.392810    0.000000
    1.232648   -1.394680    0.000000
    1.231859   -1.396454    0.000000
    1.230797   -1.398082    0.000000
    1.229502   -1.399535    0.000000
    1.227994   -1.400772    0.000000
    1.226321   -1.401751    0.000000
    1.224513   -1.402473    0.000000
    1.222620   -1.402906    0.000000
    1.220682   -1.403040    0.000000
    1.218739   -1.402874    0.000000
    1.216851   -1.402417    0.000000
    1.215057   -1.401668    0.000000
    1.213400   -1.400656    0.000000
    1.211908   -1.399402    0.000000
    1.210632   -1.397934    0.000000
    1.209603   -1.396292    0.000000
    1.208831   -1.394505    0.000000
    1.185297   -1.329116    0.000000
    1.159000   -1.264785    0.000000
    1.130231   -1.201518    0.000000
    1.100451   -1.138718    0.000000
    1.069084   -1.076706    0.000000
    1.035427   -1.015894    0.000000
    0.999454   -0.956433    0.000000
    0.961364   -0.898299    0.000000
    0.921326   -0.841489    0.000000
    0.879363   -0.786093    0.000000
    0.835289   -0.732354    0.000000
    0.788997   -0.680514    0.000000
    0.740471   -0.630763    0.000000
    0.689715   -0.583302    0.000000
    0.636722   -0.538340    0.000000
    0.581547   -0.496096    0.000000
    0.524212   -0.456811    0.000000
    0.464862   -0.420651    0.000000
    0.403697   -0.387674    0.000000
    0.340821   -0.358066    0.000000
    0.276349   -0.332158    0.000000
    0.210397   -0.310255    0.000000
    0.143179   -0.292636    0.000000
    0.074967   -0.279354    0.000000
    0.006059   -0.270335    0.000000
